trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-158.535090341627,"{0: 18, 1: 3, 2: 0, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-88.96406234528128,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-212.98453568968173,"{0: 21, 1: 1, 2: 9, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-101.09211171101565,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-127.20785494097406,"{0: 16, 1: 7, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-140.15951708773173,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-92.88073891307349,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-28.632356268446493,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-93.7792488836287,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,5,-47.679374375005594,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-131.52560746495024,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,18,-12.97728324157575,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-70.40944854604248,"{0: 22, 1: 1, 2: 5, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-172.71063621329864,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-39.03925446178915,"{0: 19, 1: 4, 2: 0, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,0,-16.51233563887166,"{0: 31, 1: 2, 2: 0, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-37.04746934204752,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-31.397326642081996,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,13,12.898882160664854,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.0}",20,1,-49.37221372898495,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-8.611939662943563,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,15,12.982009126176138,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,6,-22.951989979080995,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-44.56338789917789,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-87.98038482675172,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,13,8.734231291421537,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-69.81957507327115,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-25.11381679101703,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,16,-27.074241573117636,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,18,26.46924801284377,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
