trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9999999999999983}",20,0,-148.0646402366798,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.9999999999999458}",30,0,-127.52383760198374,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.9999999999995884}",25,0,-214.07419435430964,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
4,False,"{'a': 0.1, 'e': 0.9999999999982658}",25,0,-192.59894179792784,"{0: 9, 1: 5, 2: 8, 3: 1, 4: 2}",0
5,False,"{'a': 0.1, 'e': 0.9999999999947078}",20,0,-130.55209751766276,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.1, 'e': 0.9999999999868313}",25,0,-76.39943759227184,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.9999999999715372}",20,0,-77.80341421759401,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
8,False,"{'a': 0.1, 'e': 0.9999999999445071}",20,0,-63.26204327246185,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.1, 'e': 0.9999999999}",30,0,-104.13294752339877,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.9999999998306491}",30,0,-100.33779644592771,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.9999999997272587}",25,0,-207.34669774446166,"{0: 15, 1: 3, 2: 1, 3: 2, 4: 4}",0
12,False,"{'a': 0.1, 'e': 0.9999999995786009}",25,0,-137.0735688110861,"{0: 9, 1: 7, 2: 7, 3: 2, 4: 0}",0
