trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999999936}",20,0,-116.7631414633973,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.999999488}",20,0,-100.0610775109652,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.999998272}",30,0,-213.95099769263487,"{0: 17, 1: 2, 2: 6, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.999995904}",20,0,-105.87464347111445,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.999992}",20,0,-79.18288068810602,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.999986176}",25,0,-161.1023944284886,"{0: 11, 1: 3, 2: 8, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.999978048}",30,0,-166.85533951634517,"{0: 14, 1: 5, 2: 8, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.999967232}",20,0,-161.5261382712766,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.999953344}",30,0,-187.91425074297473,"{0: 17, 1: 3, 2: 5, 3: 3, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.999936}",30,0,-145.96660573516766,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.999914816}",20,0,-160.70860396925727,"{0: 7, 1: 5, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.999889408}",30,0,-222.55533682110382,"{0: 16, 1: 4, 2: 6, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.999859392}",25,0,-151.9290233790835,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.999824384}",25,0,-225.37391780219932,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 5}",0
15,False,"{'a': 0.5, 'e': 0.999784}",25,1,-2.543550841551908,"{0: 19, 1: 5, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.999737856}",20,0,-154.04373159724156,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.999685568}",20,0,-99.13624328619485,"{0: 9, 1: 1, 2: 10, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.999626752}",25,0,-189.28825627337164,"{0: 10, 1: 5, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.999561024}",25,14,-37.16599044568661,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.999488}",25,0,-176.73047514231618,"{0: 12, 1: 5, 2: 4, 3: 2, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-290.78175408489096,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 5}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-88.7533246101806,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-77.79947485147778,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-157.2069103847181,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-124.72869483923735,"{0: 22, 1: 2, 2: 2, 3: 2, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,0,-228.9324873245384,"{0: 15, 1: 6, 2: 3, 3: 3, 4: 3}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-208.77738703022203,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
8,True,"{'a': 0.0, 'e': 0.0}",35,2,-70.6862006892485,"{0: 24, 1: 4, 2: 4, 3: 0, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-120.91231621759947,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-151.64860440413284,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
